Entity,Year,Annual CO₂ emissions from coal
Afghanistan,1949,14656
Afghanistan,1950,21068
Afghanistan,1951,25648
Afghanistan,1952,31707.998
Afghanistan,1953,37949
Afghanistan,1954,42502
Afghanistan,1955,62288
Afghanistan,1956,62288
Afghanistan,1957,76944
Afghanistan,1958,91600
Afghanistan,1959,109920
Afghanistan,1960,127115
Afghanistan,1961,175872
Afghanistan,1962,296784
Afghanistan,1963,263808
Afghanistan,1964,300448
Afghanistan,1965,381056
Afghanistan,1966,428688
Afghanistan,1967,399376
Afghanistan,1968,332429
Afghanistan,1969,362736
Afghanistan,1970,436974
Afghanistan,1971,359072
Afghanistan,1972,190528
Afghanistan,1973,310745
Afghanistan,1974,304695
Afghanistan,1975,398689
Afghanistan,1976,425024
Afghanistan,1977,450672
Afghanistan,1978,576226
Afghanistan,1979,351744
Afghanistan,1980,315762
Afghanistan,1981,333424
Afghanistan,1982,384720
Afghanistan,1983,384720
Afghanistan,1984,392556
Afghanistan,1985,399794
Afghanistan,1986,425024
Afghanistan,1987,442824
Afghanistan,1988,366400
Afghanistan,1989,337088
Afghanistan,1990,278464
Afghanistan,1991,249627
Afghanistan,1992,21984
Afghanistan,1993,18320
Afghanistan,1994,14693
Afghanistan,1995,14656
Afghanistan,1996,7328
Afghanistan,1997,3664
Afghanistan,1998,3664
Afghanistan,1999,3664
Afghanistan,2000,3664
Afghanistan,2001,69616
Afghanistan,2002,55109
Afghanistan,2003,91813
Afghanistan,2004,91600
Afghanistan,2005,106256
Afghanistan,2006,160944
Afghanistan,2007,747456
Afghanistan,2008,1078145
Afghanistan,2009,1514100
Afghanistan,2010,2246032
Afghanistan,2011,4180624
Afghanistan,2012,3125392
Afghanistan,2013,3302577
Afghanistan,2014,3621491
Afghanistan,2015,2722352
Afghanistan,2016,2717565
Afghanistan,2017,3257296
Afghanistan,2018,3633429
Afghanistan,2019,3700640
Afghanistan,2020,4115975
Afghanistan,2021,3396528
Afghanistan,2022,3531304
Afghanistan,2023,3843091
Africa,1884,21984
Africa,1885,36640
Africa,1886,47632
Africa,1887,47632
Africa,1888,80608
Africa,1889,131904
Africa,1890,296784
Africa,1891,296784
Africa,1892,479984
Africa,1893,1799024
Africa,1894,2432896
Africa,1895,3337904
Africa,1896,4257568
Africa,1897,4777856
Africa,1898,6049264
Africa,1899,5517984
Africa,1900,2330304
Africa,1901,3909488
Africa,1902,5825760
Africa,1903,7895920
Africa,1904,8910848
Africa,1905,10262864
Africa,1906,11717472
Africa,1907,12930256
Africa,1908,13402912
Africa,1909,15385136
Africa,1910,17411328
Africa,1911,16854400
Africa,1912,17869328
Africa,1913,19565760
Africa,1914,19243328
Africa,1915,19514464
Africa,1916,23072208
Africa,1917,24918864
Africa,1918,23856304
Africa,1919,24750932
Africa,1920,27593584
Africa,1921,27425040
Africa,1922,23435402
Africa,1923,28571872
Africa,1924,30126222
Africa,1925,31623984
Africa,1926,33902990
Africa,1927,33269120
Africa,1928,33815056
Africa,1929,34589910
Africa,1930,32554640
Africa,1931,28307124
Africa,1932,25354880
Africa,1933,27290204
Africa,1934,31323508
Africa,1935,34742940
Africa,1936,37764850
Africa,1937,40582330
Africa,1938,42559696
Africa,1939,43957376
Africa,1940,46039320
Africa,1941,49442016
Africa,1942,54303980
Africa,1943,55236530
Africa,1944,61370588
Africa,1945,62303170
Africa,1946,62937748
Africa,1947,62414836
Africa,1948,64359092
Africa,1949,68580430
Africa,1950,68983440
Africa,1951,72748780
Africa,1952,79382580
Africa,1953,79053176
Africa,1954,81769770
Africa,1955,91675270
Africa,1956,95593704
Africa,1957,99299270
Africa,1958,103144250
Africa,1959,101675750
Africa,1960,103522300
Africa,1961,105003010
Africa,1962,106668390
Africa,1963,109186130
Africa,1964,115604430
Africa,1965,124891080
Africa,1966,123843270
Africa,1967,127101050
Africa,1968,132503540
Africa,1969,135191330
Africa,1970,140096800
Africa,1971,149906400
Africa,1972,153923520
Africa,1973,154291180
Africa,1974,157240740
Africa,1975,162187090
Africa,1976,171906350
Africa,1977,176693260
Africa,1978,178675780
Africa,1979,197362580
Africa,1980,212397550
Africa,1981,237340290
Africa,1982,250232000
Africa,1983,260943420
Africa,1984,286062720
Africa,1985,294697200
Africa,1986,305787400
Africa,1987,312517730
Africa,1988,322718820
Africa,1989,313481500
Africa,1990,295749900
Africa,1991,306500380
Africa,1992,288338270
Africa,1993,318584200
Africa,1994,330423170
Africa,1995,346584450
Africa,1996,352718080
Africa,1997,360178050
Africa,1998,354754000
Africa,1999,365712320
Africa,2000,370010050
Africa,2001,371740200
Africa,2002,360666180
Africa,2003,390582080
Africa,2004,417392320
Africa,2005,412225100
Africa,2006,418609920
Africa,2007,429851520
Africa,2008,455481400
Africa,2009,425295970
Africa,2010,431406560
Africa,2011,424838000
Africa,2012,430713120
Africa,2013,431818800
Africa,2014,445595500
Africa,2015,423878240
Africa,2016,431072960
Africa,2017,424086270
Africa,2018,422251740
Africa,2019,462815500
Africa,2020,433637900
Africa,2021,424493150
Africa,2022,404326140
Africa,2023,400078270
Albania,1933,0
Albania,1934,0
Albania,1935,0
Albania,1936,0
Albania,1937,0
Albania,1938,0
Albania,1939,0
Albania,1940,0
Albania,1941,0
Albania,1942,0
Albania,1943,0
Albania,1944,0
Albania,1945,0
Albania,1946,21984
Albania,1947,0
Albania,1948,7328
Albania,1949,0
Albania,1950,43432
Albania,1951,73280
Albania,1952,76197
Albania,1953,113584
Albania,1954,157552
Albania,1955,219840
Albania,1956,249152
Albania,1957,274800
Albania,1958,289456
Albania,1959,337088
Albania,1960,326096
Albania,1961,321914
Albania,1962,362736
Albania,1963,282128
Albania,1964,333424
Albania,1965,395046
Albania,1966,477005
Albania,1967,523952
Albania,1968,589904
Albania,1969,688832
Albania,1970,891225
Albania,1971,989280
Albania,1972,1080880
Albania,1973,1168816
Albania,1974,1210141
Albania,1975,1260416
Albania,1976,1272350
Albania,1977,1699007
Albania,1978,2126321
Albania,1979,2680752
Albania,1980,2322976
Albania,1981,2644087
Albania,1982,2879904
Albania,1983,3103408
Albania,1984,3400192
Albania,1985,3722624
Albania,1986,3707968
Albania,1987,3735456
Albania,1988,4017755
Albania,1989,4056048
Albania,1990,2498848
Albania,1991,1480256
Albania,1992,799927
Albania,1993,599947
Albania,1994,168544
Albania,1995,161216
Albania,1996,113584
Albania,1997,43968
Albania,1998,54845
Albania,1999,110056
Albania,2000,69531
Albania,2001,80608
Albania,2002,84272
Albania,2003,84272
Albania,2004,84272
Albania,2005,73216
Albania,2006,73210
Albania,2007,73210
Albania,2008,102592
Albania,2009,388384
Albania,2010,428688
Albania,2011,534944
Albania,2012,626544
Albania,2013,795088
Albania,2014,1028913
Albania,2015,322432
Albania,2016,190528
Albania,2017,274599
Albania,2018,472656
Albania,2019,322432
Albania,2020,567920
Albania,2021,856728
Albania,2022,835604
Albania,2023,788590
Algeria,1916,0
Algeria,1917,3664
Algeria,1918,14656
Algeria,1919,15267
Algeria,1920,18320
Algeria,1921,25648
Algeria,1922,22442
Algeria,1923,10992
Algeria,1924,22798
Algeria,1925,25648
Algeria,1926,36640
Algeria,1927,54960
Algeria,1928,43968
Algeria,1929,42056
Algeria,1930,43968
Algeria,1931,57074
Algeria,1932,65952
Algeria,1933,80608
Algeria,1934,91600
Algeria,1935,99819
Algeria,1936,18320
Algeria,1937,36640
Algeria,1938,32976
Algeria,1939,51296
Algeria,1940,146560
Algeria,1941,212512
Algeria,1942,392048
Algeria,1943,311440
Algeria,1944,316441
Algeria,1945,428688
Algeria,1946,568849
Algeria,1947,545936
Algeria,1948,598165
Algeria,1949,706336
Algeria,1950,1883296
Algeria,1951,2040848
Algeria,1952,1842992
Algeria,1953,1547625
Algeria,1954,1483920
Algeria,1955,1593840
Algeria,1956,1761093
Algeria,1957,1974896
Algeria,1958,1810016
Algeria,1959,1461936
Algeria,1960,1256752
Algeria,1961,765313
Algeria,1962,406441
Algeria,1963,252815.98
Algeria,1964,282128
Algeria,1965,263955
Algeria,1966,271136
Algeria,1967,190445
Algeria,1968,201602
Algeria,1969,450525
Algeria,1970,970960
Algeria,1971,901344
Algeria,1972,648528
Algeria,1973,820736
Algeria,1974,699824
Algeria,1975,791333
Algeria,1976,586185
Algeria,1977,604560
Algeria,1978,571584
Algeria,1979,894016
Algeria,1980,1608496
Algeria,1981,1909095
Algeria,1982,1974896
Algeria,1983,3147595
Algeria,1984,4026735.8
Algeria,1985,3077760
Algeria,1986,2726016
Algeria,1987,2967840
Algeria,1988,2975038
Algeria,1989,2986160
Algeria,1990,2942192
Algeria,1991,2689376
Algeria,1992,2377936
Algeria,1993,1923600
Algeria,1994,2286238
Algeria,1995,1934592
Algeria,1996,1406976
Algeria,1997,1381328
Algeria,1998,2110464
Algeria,1999,2172665
Algeria,2000,1960240
Algeria,2001,2095808
Algeria,2002,2608768
Algeria,2003,2788304
Algeria,2004,1923600
Algeria,2005,2363280
Algeria,2006,2700368
Algeria,2007,3011808
Algeria,2008,3008246
Algeria,2009,1593840
Algeria,2010,1216486
Algeria,2011,1047871.94
Algeria,2012,1036882.06
Algeria,2013,725472
Algeria,2014,545922
Algeria,2015,501968.03
Algeria,2016,0
Algeria,2017,864704
Algeria,2018,1450878
Algeria,2019,1198154
Algeria,2020,542272
Algeria,2021,1106552
Algeria,2022,774984
Algeria,2023,688810
Andorra,1990,0
Andorra,1991,0
Andorra,1992,0
Andorra,1993,0
Andorra,1994,0
Andorra,1995,0
Andorra,1996,0
Andorra,1997,0
Andorra,1998,0
Andorra,1999,0
Andorra,2000,0
Andorra,2001,0
Andorra,2002,0
Andorra,2003,0
Andorra,2004,0
Andorra,2005,0
Andorra,2006,0
Andorra,2007,0
Andorra,2008,0
Andorra,2009,0
Andorra,2010,0
Andorra,2011,0
Andorra,2012,0
Andorra,2013,0
Andorra,2014,0
Andorra,2015,0
Andorra,2016,0
Andorra,2017,0
Andorra,2018,0
Andorra,2019,0
Andorra,2020,0
Andorra,2021,0
Andorra,2022,0
Andorra,2023,0
Angola,1950,59796
Angola,1951,95264
Angola,1952,120912
Angola,1953,69616
Angola,1954,76143
Angola,1955,84272
Angola,1956,40304
Angola,1957,80608
Angola,1958,43968
Angola,1959,54960
Angola,1960,123751
Angola,1961,62794
Angola,1962,91316
Angola,1963,21984
Angola,1964,76944
Angola,1965,54960
Angola,1966,87936
Angola,1967,54960
Angola,1968,102368
Angola,1969,91721
Angola,1970,47583
Angola,1971,29281
Angola,1972,7322
Angola,1973,21984
Angola,1974,0
Angola,1975,0
Angola,1976,0
Angola,1977,0
Angola,1978,0
Angola,1979,0
Angola,1980,0
Angola,1981,0
Angola,1982,0
Angola,1983,0
Angola,1984,0
Angola,1985,0
Angola,1986,0
Angola,1987,0
Angola,1988,0
Angola,1989,0
Antigua and Barbuda,1950,2443
Antigua and Barbuda,1951,11166
Antigua and Barbuda,1952,2443
Antigua and Barbuda,1953,2443
Antigua and Barbuda,1954,0
Antigua and Barbuda,1955,2443
Antigua and Barbuda,1956,2443
Argentina,1856,16651
Argentina,1857,40757
Argentina,1858,52768
Argentina,1859,33825
Argentina,1860,41522
Argentina,1861,50365
Argentina,1862,41491
Argentina,1863,61083
Argentina,1864,51953
Argentina,1865,89168
Argentina,1866,141423
Argentina,1867,101799
Argentina,1868,150623
Argentina,1869,174755
Argentina,1870,160446
Argentina,1871,173509
Argentina,1872,169208
Argentina,1873,187797
Argentina,1874,222817
Argentina,1875,129876
Argentina,1876,127019
Argentina,1877,100473
